Wall time,Step,Value
1680152779,12000,-2.994758844
1680152902,24000,-2.7859447
1680153034,36000,-2.513507128
1680153187,48000,-2.722444057
1680153388,60000,-2.623255968
1680153559,72000,-2.341379404
1680153700,84000,-2.652303696
1680153889,96000,-2.497297525
1680154059,108000,-2.341666698
1680154165,120000,-2.596379042
1680154266,132000,-2.453257799
1680154369,144000,-2.687853098
1680154472,156000,-2.3804667
1680154574,168000,-2.498230219
1680154675,180000,-2.549397707
1680154776,192000,-2.440828562
1680154883,204000,-2.254929781
1680154986,216000,-2.560571671
1680155092,228000,-2.053571701
1680155201,240000,-1.969231009
1680155310,252000,-2.454847813
1680155418,264000,-2.186992168
1680155523,276000,-2.189189434
1680155633,288000,-1.98361063
1680155736,300000,-1.856010556
1680155838,312000,-2.095312834
1680155940,324000,-2.018306732
1680156042,336000,-1.845754981
